date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:25	89315/89315	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2013:33:25%20GMT	https://www.megafishing88.org/?fbclid=IwY2xjawER1hFleHRuA2FlbQIxMAABHezYn0hAMQOMIo7AhfLSRgqOzIxaJzfoVg5OJ61F84ZJ7cvcKhp_537Iug_aem_cp2oNu20ULM8lCOiPWaLJw	C:/Users/User/OneDrive/Pictures/JKC88/INTRO/JKC88/www.megafishing88.org/index5a47.html	(from )
21:33:25	22/22	---M--	200	added ('OK')	text/plain	date:Sat,%2027%20Jul%202024%2013:33:25%20GMT	https://www.megafishing88.org/robots.txt		(from )
21:33:25	89315/89315	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2013:33:25%20GMT	https://www.megafishing88.org/	C:/Users/User/OneDrive/Pictures/JKC88/INTRO/JKC88/www.megafishing88.org/index.html	(from https://www.megafishing88.org/?fbclid=IwY2xjawER1hFleHRuA2FlbQIxMAABHezYn0hAMQOMIo7AhfLSRgqOzIxaJzfoVg5OJ61F84ZJ7cvcKhp_537Iug_aem_cp2oNu20ULM8lCOiPWaLJw)
21:33:26	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2013:33:26%20GMT	https://static.ladipage.net/5bb36a18962ca007b2d3cb6b/logo-20230822034407-usmzp.png	C:/Users/User/OneDrive/Pictures/JKC88/INTRO/JKC88/static.ladipage.net/5bb36a18962ca007b2d3cb6b/logo-20230822034407-usmzp.0.delayed	(from https://www.megafishing88.org/?fbclid=IwY2xjawER1hFleHRuA2FlbQIxMAABHezYn0hAMQOMIo7AhfLSRgqOzIxaJzfoVg5OJ61F84ZJ7cvcKhp_537Iug_aem_cp2oNu20ULM8lCOiPWaLJw)
21:33:26	9404/9404	---MCZ	200	added ('OK')	image/png	date:Wed,%2024%20Jul%202024%2018:39:36%20GMT	https://w.ladicdn.com:443/5bb36a18962ca007b2d3cb6b/logo-20230822034407-usmzp.png	C:/Users/User/OneDrive/Pictures/JKC88/INTRO/JKC88/w.ladicdn.com_443/5bb36a18962ca007b2d3cb6b/logo-20230822034407-usmzp.png	(from https://www.megafishing88.org/?fbclid=IwY2xjawER1hFleHRuA2FlbQIxMAABHezYn0hAMQOMIo7AhfLSRgqOzIxaJzfoVg5OJ61F84ZJ7cvcKhp_537Iug_aem_cp2oNu20ULM8lCOiPWaLJw)
21:33:27	403052/403052	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2027%20Apr%202024%2009:34:42%20GMT	https://w.ladicdn.com/v2/source/ladipagev3.min.js?v=1695699645494	C:/Users/User/OneDrive/Pictures/JKC88/INTRO/JKC88/w.ladicdn.com/v2/source/ladipagev3.min53b3.js	(from https://www.megafishing88.org/?fbclid=IwY2xjawER1hFleHRuA2FlbQIxMAABHezYn0hAMQOMIo7AhfLSRgqOzIxaJzfoVg5OJ61F84ZJ7cvcKhp_537Iug_aem_cp2oNu20ULM8lCOiPWaLJw)
21:33:27	17718/17718	---MCZ	200	added ('OK')	image/png	date:Sat,%2027%20Jul%202024%2013:31:49%20GMT	https://w.ladicdn.com/s550x650/5bb36a18962ca007b2d3cb6b/banner-07-20230822081402-vkiu3.png	C:/Users/User/OneDrive/Pictures/JKC88/INTRO/JKC88/w.ladicdn.com/s550x650/5bb36a18962ca007b2d3cb6b/banner-07-20230822081402-vkiu3.png	(from https://www.megafishing88.org/?fbclid=IwY2xjawER1hFleHRuA2FlbQIxMAABHezYn0hAMQOMIo7AhfLSRgqOzIxaJzfoVg5OJ61F84ZJ7cvcKhp_537Iug_aem_cp2oNu20ULM8lCOiPWaLJw)
21:33:27	10499/10499	---MCZ	200	added ('OK')	image/png	date:Sat,%2027%20Jul%202024%2013:31:49%20GMT	https://w.ladicdn.com/s450x450/5bb36a18962ca007b2d3cb6b/b-6-20230822084718-qahcf.png	C:/Users/User/OneDrive/Pictures/JKC88/INTRO/JKC88/w.ladicdn.com/s450x450/5bb36a18962ca007b2d3cb6b/b-6-20230822084718-qahcf.png	(from https://www.megafishing88.org/?fbclid=IwY2xjawER1hFleHRuA2FlbQIxMAABHezYn0hAMQOMIo7AhfLSRgqOzIxaJzfoVg5OJ61F84ZJ7cvcKhp_537Iug_aem_cp2oNu20ULM8lCOiPWaLJw)
21:33:28	9351/9351	---MCZ	200	added ('OK')	image/png	date:Mon,%2022%20Jul%202024%2017:32:18%20GMT	https://w.ladicdn.com/s450x450/5bb36a18962ca007b2d3cb6b/b-5-20230822084718-vmca0.png	C:/Users/User/OneDrive/Pictures/JKC88/INTRO/JKC88/w.ladicdn.com/s450x450/5bb36a18962ca007b2d3cb6b/b-5-20230822084718-vmca0.png	(from https://www.megafishing88.org/?fbclid=IwY2xjawER1hFleHRuA2FlbQIxMAABHezYn0hAMQOMIo7AhfLSRgqOzIxaJzfoVg5OJ61F84ZJ7cvcKhp_537Iug_aem_cp2oNu20ULM8lCOiPWaLJw)
21:33:28	8717/8717	---MCZ	200	added ('OK')	image/png	date:Mon,%2022%20Jul%202024%2017:32:17%20GMT	https://w.ladicdn.com/s450x450/5bb36a18962ca007b2d3cb6b/b-8-20230822084718-rrqn1.png	C:/Users/User/OneDrive/Pictures/JKC88/INTRO/JKC88/w.ladicdn.com/s450x450/5bb36a18962ca007b2d3cb6b/b-8-20230822084718-rrqn1.png	(from https://www.megafishing88.org/?fbclid=IwY2xjawER1hFleHRuA2FlbQIxMAABHezYn0hAMQOMIo7AhfLSRgqOzIxaJzfoVg5OJ61F84ZJ7cvcKhp_537Iug_aem_cp2oNu20ULM8lCOiPWaLJw)
